Occurrence_Code,acft_model,num_eng,eng_type,crew_category,crew_age,latitude,longitude,light_cond,vis_sm,wx_temp,wind_dir_deg,wind_vel_kts,altimeter,code
350333,T182T,1.0,REC,CPLT,22.0,383413N,0090918W,DAYL,10.0,46.0,131.68853174603174,5.0,30.3199996948242,UNK
500901,737,2.0,TF,PLT,45.0,391031N,0076406W,NITE,10.0,34.0,290.0,10.0,30.1000003814697,NWS
500901,737,2.0,TF,CPLT,41.0,391031N,0076406W,NITE,10.0,34.0,290.0,10.0,30.1000003814697,NWS
300240,THORP T 18,1.0,REC,PLT,57.0,038036N,0122300W,DAYL,7.0,64.0,238.52478228832763,8.450849708561332,29.9200000762939,AUTR
452240,172M,1.0,REC,PLT,28.0,031592N,1023141W,DAYL,10.0,54.0,290.0,8.0,29.7600002288818,UNK
551092,E162,1.0,REC,PLT,44.0,383045N,1224852W,DAYL,10.0,66.0,222.94110308243617,4.0,30.1100006103516,AUTR
552310,RV 8A,1.0,REC,PLT,42.0,294326N,0098274W,NITE,10.0,70.0,180.0,3.0,29.7900009155273,UNK
551240,172M,1.0,REC,DSTU,45.0,015713N,1454348E,DAYL,10.0,81.0,100.0,14.0,29.9200000762939,FSS
450401,172,1.0,REC,PLT,52.0,382418N,1204731W,DAYL,5.0,46.0,180.0,11.0,29.9799995422363,UNK
551092,KITFOX III,1.0,REC,PLT,59.0,375736N,0774347W,DAYL,10.0,36.0,180.6847630116066,5.600945970695971,30.2299995422363,AUTR
508250,PITTS SPECIAL S-1S,1.0,REC,PLT,53.0,393630N,0077028W,DAYL,10.0,57.0,170.0,4.0,30.1299991607666,AUTR
508250,PA-28-140,1.0,REC,PLT,55.0,393630N,0077028W,DAYL,10.0,57.0,170.0,4.0,30.1299991607666,AUTR
300342,PA 23-160,2.0,REC,PLT,60.0,413114N,0825219W,DAYL,10.0,34.0,350.0,6.0,30.2900009155273,UNK
300333,180J,1.0,REC,PLT,47.0,643044N,1652643W,DAYL,10.0,9.0,125.55,8.37,29.2900009155273,AUTR
350341,404,2.0,REC,PLT,55.0,393543N,1044934W,NITE,7.0,-2.0,163.5753282828283,9.594388888888888,30.3700008392334,UNK
400400,208B,1.0,TP,PLT,41.0,331714N,1043221W,DAYL,2.0,25.0,40.0,15.0,30.3999996185303,UNK
